stage,chain,draw,diverging
base,0,398,False
base,0,399,False
base,0,400,False
base,0,401,False
base,0,402,False
base,0,403,False
base,0,404,False
base,0,405,False
base,0,406,False
base,0,407,False
base,0,408,False
base,0,409,False
base,0,410,False
base,0,411,False
base,0,412,False
base,0,413,False
base,0,414,False
base,0,415,False
base,0,416,False
base,0,417,False
base,0,418,False
base,0,419,False
base,0,420,False
base,0,421,False
base,0,422,False
base,0,423,False
base,0,424,False
base,0,425,False
base,0,426,False
base,0,427,False
base,0,428,False
base,0,429,False
base,0,430,False
base,0,431,False
base,0,432,False
base,0,433,False
base,0,434,False
base,0,435,False
base,0,436,False
base,0,437,False
base,0,438,False
base,0,439,False
base,0,440,False
base,0,441,False
base,0,442,False
base,0,443,False
base,0,444,False
base,0,445,False
base,0,446,False
base,0,447,False
base,0,448,False
base,0,449,False
base,0,450,False
base,0,451,False
base,0,452,False
base,0,453,False
base,0,454,False
base,0,455,False
base,0,456,False
base,0,457,False
base,0,458,False
base,0,459,False
base,0,460,False
base,0,461,False
base,0,462,False
base,0,463,False
base,0,464,False
base,0,465,False
base,0,466,False
base,0,467,False
base,0,468,False
base,0,469,False
base,0,470,False
base,0,471,False
base,0,472,False
base,0,473,False
base,0,474,False
base,0,475,False
base,0,476,False
base,0,477,False
base,0,478,False
base,0,479,False
base,0,480,False
base,0,481,False
base,0,482,False
base,0,483,False
base,0,484,False
base,0,485,False
base,0,486,False
base,0,487,False
base,0,488,False
base,0,489,False
base,0,490,False
base,0,491,False
base,0,492,False
base,0,493,False
base,0,494,False
base,0,495,False
base,0,496,False
base,0,497,False
base,0,498,False
base,0,499,False
base,0,500,False
base,0,501,False
base,0,502,False
base,0,503,False
base,0,504,False
base,0,505,False
base,0,506,False
base,0,507,False
base,0,508,False
base,0,509,False
base,0,510,False
base,0,511,False
base,0,512,False
base,0,513,False
base,0,514,False
base,0,515,False
base,0,516,False
base,0,517,False
base,0,518,False
base,0,519,False
base,0,520,False
base,0,521,False
base,0,522,False
base,0,523,False
base,0,524,False
base,0,525,False
base,0,526,False
base,0,527,False
base,0,528,False
base,0,529,False
base,0,530,False
base,0,531,False
base,0,532,False
base,0,533,False
base,0,534,False
base,0,535,False
base,0,536,False
base,0,537,False
base,0,538,False
base,0,539,False
base,0,540,False
base,0,541,False
base,0,542,False
base,0,543,False
base,0,544,False
base,0,545,False
base,0,546,False
base,0,547,False
base,0,548,False
base,0,549,False
base,0,550,False
base,0,551,False
base,0,552,False
base,0,553,False
base,0,554,False
base,0,555,False
base,0,556,False
base,0,557,False
base,0,558,False
base,0,559,False
base,0,560,False
base,0,561,False
base,0,562,False
base,0,563,False
base,0,564,False
base,0,565,False
base,0,566,False
base,0,567,False
base,0,568,False
base,0,569,False
base,0,570,False
base,0,571,False
base,0,572,False
base,0,573,False
base,0,574,False
base,0,575,False
base,0,576,False
base,0,577,False
base,0,578,False
base,0,579,False
base,0,580,False
base,0,581,False
base,0,582,False
base,0,583,False
base,0,584,False
base,0,585,False
base,0,586,False
base,0,587,False
base,0,588,False
base,0,589,False
base,0,590,False
base,0,591,False
base,0,592,False
base,0,593,False
base,0,594,False
base,0,595,False
base,0,596,False
base,0,597,False
base,0,598,False
base,0,599,False
base,0,600,False
base,0,601,False
base,0,602,False
base,0,603,False
base,0,604,False
base,0,605,False
base,0,606,False
base,0,607,False
base,0,608,False
base,0,609,False
base,0,610,False
base,0,611,False
base,0,612,False
base,0,613,False
base,0,614,False
base,0,615,False
base,0,616,False
base,0,617,False
base,0,618,False
base,0,619,False
base,0,620,False
base,0,621,False
base,0,622,False
base,0,623,False
base,0,624,False
base,0,625,False
base,0,626,False
base,0,627,False
base,0,628,False
base,0,629,False
base,0,630,False
base,0,631,False
base,0,632,False
base,0,633,False
base,0,634,False
base,0,635,False
base,0,636,False
base,0,637,False
base,0,638,False
base,0,639,False
base,0,640,False
base,0,641,False
