"method","lane","site","n","mean_log_score","median_rmse","coverage90","mace","mean_z","var_z","coverage90_se","pass"
"referent_adaptation","observed_site","site-1",30,-1.10057258602406,0.723382675017255,0.866666666666667,0.08,-0.315601023677634,0.813466734987491,0.0547722557505166,TRUE
"referent_adaptation","observed_site","site-2",30,-0.983829543171385,0.619293222566163,1,0.0466666666666667,0.107879064774749,0.650832253631541,0.0547722557505166,TRUE
"referent_adaptation","observed_site","site-3",30,-1.13160035818376,0.726175216619566,0.966666666666667,0.0466666666666667,-0.197596202601162,0.680751103146649,0.0547722557505166,TRUE
"referent_adaptation","observed_site","site-4",30,-1.2768599472243,0.824606720175894,1,0.04,0.0312998056224085,0.641451096605674,0.0547722557505166,TRUE
"referent_adaptation","transferred_site","site-5",75,-1.51193440719004,1.09581319379937,0.906666666666667,0.0266666666666666,0.0562870566012084,1.05121933838465,0.0346410161513775,TRUE
"pcntoolkit_hbr_mixture","observed_site","site-1",30,-1.19495564310486,0.701637777605587,0.933333333333333,0.0533333333333333,-0.210701467770246,0.690909918517891,0.0547722557505166,TRUE
"pcntoolkit_hbr_mixture","observed_site","site-2",30,-1.11949119562157,0.673237756915268,0.933333333333333,0.0466666666666667,0.0542224347725026,0.687496250256442,0.0547722557505166,TRUE
"pcntoolkit_hbr_mixture","observed_site","site-3",30,-1.1618078641769,0.749707050603501,1,0.06,-0.221235039108736,0.675380751843278,0.0547722557505166,TRUE
"pcntoolkit_hbr_mixture","observed_site","site-4",30,-1.24682249034285,0.804976286807461,0.933333333333333,0.0266666666666667,-0.0183281258764006,0.863811007873412,0.0547722557505166,TRUE
"pcntoolkit_hbr_mixture","transferred_site","site-5",75,-1.56924901844364,1.12772295617233,0.946666666666667,0.0173333333333333,0.0587165096326215,0.790436783232807,0.0346410161513775,TRUE
