stage,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
transfer,slope_sigma[sigma_covariates_1],-1.6180000000000001,1.5649999999999999,-4.5880000000000001,1.383,0.016,0.023,9098,4275,1
transfer,slope_sigma[sigma_covariates_2],-1.516,1.256,-3.899,0.79200000000000004,0.016,0.016,6232,4399,1
transfer,slope_sigma[sigma_covariates_3],0.436,0.89400000000000002,-1.177,2.2069999999999999,0.012,0.010999999999999999,5792,4810,1
transfer,slope_sigma[sigma_covariates_4],-0.187,0.75600000000000001,-1.5940000000000001,1.23,0.0089999999999999993,0.0089999999999999993,7078,4773,1
transfer,slope_sigma[sigma_covariates_5],0.021999999999999999,0.97799999999999998,-1.7849999999999999,1.843,0.010999999999999999,0.012999999999999999,7478,4415,1
transfer,slope_sigma[sigma_covariates_6],-1.4159999999999999,1.179,-3.5609999999999999,0.86099999999999999,0.016,0.014,5695,4430,1
transfer,slope_sigma[sigma_covariates_7],-0.35499999999999998,1.4019999999999999,-2.9630000000000001,2.2989999999999999,0.017000000000000001,0.017000000000000001,7052,4602,1
transfer,intercept_sigma,-0.92800000000000005,0.42799999999999999,-1.714,-0.114,0.0060000000000000001,0.0050000000000000001,4675,4188,1
transfer,site_sigma_intercept_mu,0.66800000000000004,0.34300000000000003,0.11799999999999999,1.292,0.0040000000000000001,0.0050000000000000001,8421,4141,1
transfer,normalized_site_offset_intercept_mu[site-5],0,0,-0,-0,0,,6000,6000,
transfer,site_offset_intercept_mu[0],0,0,-0,-0,0,,6000,6000,
