".outcome","n","mean_z","var_z","skew_z","excess_kurtosis_z","shapiro_w","mace","cover_50","cover_80","cover_90","cover_95","cover_99"
"bmi",1972,0.0658971076196356,1.06036768361195,0.0510156146363022,0.345819444320725,0.996856167200071,0.0176267748478702,0.497971602434077,0.795638945233266,0.891480730223124,0.947768762677485,0.983772819472617
"height_cm",1974,0.012062228257917,1.0221849456894,0.0480879397431806,0.175928158248698,0.998891923594155,0.00482269503546098,0.503039513677812,0.806484295845998,0.89209726443769,0.948328267477204,0.987335359675785
"waist_cm",1887,0.0257577623446915,1.03840756331956,-0.0414054709500857,-0.0752795337960963,0.99861825099026,0.010386857445681,0.47800741918389,0.79438261791203,0.892421833598304,0.94700582935877,0.990461049284579
"weight_kg",1974,0.0651465829964274,1.04172047668344,0.0436337451553739,0.240447003848879,0.996992946145021,0.0164741641337386,0.496960486322188,0.79483282674772,0.894630192502533,0.949848024316109,0.985309017223911
