".outcome","mean_log_score","mae","rmse"
"bmi",-3.27102983237248,5.3296895498886,7.32059565428414
"height_cm",-3.30752964052902,5.19187402339382,6.61248195661824
"waist_cm",-4.13231293469325,12.4905802330277,16.1379477330093
"weight_kg",-4.34895912677188,15.7527689099978,21.6280109401196
