".outcome","n","mean_z","var_z","skew_z","excess_kurtosis_z","shapiro_w","mace","cover_50","cover_80","cover_90","cover_95","cover_99"
"bmi",1972,-0.0327300672726428,0.983674690801996,0.103332057870159,0.225855926820696,0.998354237482559,0.0107505070993915,0.512170385395537,0.8052738336714,0.900608519269777,0.955375253549696,0.987829614604463
"height_cm",1976,0.060423747051978,1.05226331069202,0.061405628694999,0.0936875453539048,0.999153152996188,0.01417004048583,0.488866396761134,0.791497975708502,0.895242914979757,0.944331983805668,0.98836032388664
"waist_cm",1892,-0.0289535852080061,0.971965536391736,0.0354132246529941,-0.0296929581247838,0.999046561947571,0.00847780126849896,0.504756871035941,0.809196617336152,0.909090909090909,0.951902748414376,0.993657505285412
"weight_kg",1977,-0.00928036009033842,0.982145130293293,0.0598765791470141,0.214869671474232,0.998148242311904,0.0049266565503288,0.514415781487102,0.809812847749115,0.906929691451694,0.951947395042994,0.989883662114315
