".outcome","mean_log_score","mae","rmse"
"bmi",-3.21610316468512,5.09323833879873,7.0317291934037
"height_cm",-3.32678857571662,5.33013446161589,6.77165943465241
"waist_cm",-4.10563605335855,12.1055741081313,15.7850691133404
"weight_kg",-4.31171815101122,15.0553311384577,20.7004395689098
